Date,Arecibo,Bayamón,Caguas,Carolina,Ponce,Mayagüez,San_Juan,Average
1/19/2018,52,61,45,67,84,72,76,65.3
1/25/2018,53,62,45,67,86,78,78,67.0
1/29/2018,54,63,46,68,89,78,79,68.1
1/30/2018,54,63,46,68,89,78,79,68.1
1/31/2018,55,65,46,68,89,78,81,68.9
2/1/2018,56,66,46,68,91,78,82,69.6
2/5/2018,55,67,47,68,91,78,84,70.0
2/6/2018,56,67,47,68,91,78,84,70.1
2/8/2018,56,67,47,68,91,78,84,70.1
2/9/2018,56,70,47,68,92,78,87,71.1
2/12/2018,65,72,47,68,92,77,95,73.7
2/13/2018,65,72,47,68,92,77,95,73.7
2/14/2018,65,73,48,68,93,77,96,74.3
2/15/2018,69,77,51,83,93,77,97,78.1
2/16/2018,69,77,52,83,93,77,97,78.3
2/20/2018,86,79,58,86,93,82,98,83.1
2/21/2018,86,79,58,86,94,92,99,84.9
2/22/2018,86,80,58,86,94,92,99,85.0
2/23/2018,86,80,58,91,94,92,99,85.7
2/26/2018,86,80,58,91,94,92,99,85.7
2/27/2018,86,83,60,91,95,91,99,86.4
2/28/2018,86,85,60,92,95,91,99,86.9
3/1/2018,86,85,60,92,95,91,99,86.9
3/2/2018,86,85,60,92,95,91,99,86.9
3/5/2018,89,88,61,92,95,93,99,88.1
3/6/2018,89,88,61,95,96,93,99,88.7
3/7/2018,90,88,62,95,96,93,99,89.0
3/8/2018,91,89,62,95,96,96,99,89.7
3/9/2018,92,90,62,95,96,98,99,90.3
3/11/2018,92,90,63,95,96,98,99,90.4
3/12/2018,92,90,63,95,96,98,99,90.4
3/13/2018,92,91,65,96,96,98,99,91.0
3/14/2018,93,91,65,96,96,98,99,91.1
3/15/2018,93,91,65,96,96,98,99,91.1
3/16/2018,94,93,69,96,96,98,99,92.1
3/17/2018,94,93,71,96,96,98,99,92.4
3/19/2018,94,93,71,96,96,98,99,92.4
3/20/2018,94,93,73,96,96,98,99,92.7
3/22/2018,94,93,73,96,96,99,99,92.9
3/23/2018,94,93,73,96,97,98,99,92.9
3/24/2018,94,94,73,96,97,99,99,93.1
3/26/2018,94,94,74,98,97,99,99,93.6
3/27/2018,94,95,74,98,97,99,99,93.7
3/28/2018,94,95,76,98,97,99,99,94.0
3/30/2018,94,96,78,98,97,99,100,94.6